Location,Sq_Ft,Bedrooms,Bathrooms,Year_Built,Garage,Price
Nayapura,1370,5,1,1996,No,2716601
Dada bari,2643,3,1,2008,Yes,3582428
Keshav Pura,1452,3,3,1991,Yes,2534810
Dada bari,2822,5,1,1998,No,3585654
Vigyan Nagar,2254,2,2,1990,Yes,3182867
Nayapura,2671,4,2,2011,No,2920468
Nayapura,3418,4,2,2018,Yes,3237259
Dada bari,1534,4,3,2011,Yes,3554812
Gumanpura,3217,3,3,2017,Yes,3280729
Nayapura,1015,5,3,1996,No,2654071
Nayapura,3426,5,2,1989,No,3028744
Gumanpura,3026,5,2,2007,Yes,3157625
Nayapura,1602,5,1,1996,Yes,2838281
Keshav Pura,2633,3,3,2010,No,2660905
Vigyan Nagar,1802,1,2,1983,Yes,3114277
Keshav Pura,2666,4,1,1985,Yes,2825532
Nayapura,1063,4,1,1997,No,2704759
Vigyan Nagar,1071,1,1,2009,No,2971318
Dada bari,2935,2,3,2000,Yes,3494330
Dada bari,1982,5,1,2004,No,3453429
Dada bari,1899,2,2,2019,No,3574737
Dada bari,1733,5,2,1991,Yes,3412116
Gumanpura,2199,3,3,2010,Yes,3151783
Vigyan Nagar,1168,3,2,1999,Yes,3174140
Keshav Pura,1477,4,2,2021,Yes,2865162
Dada bari,2619,5,3,2014,Yes,3595000
Vigyan Nagar,982,1,2,2004,No,3066810
Dada bari,1767,2,1,2014,Yes,3503025
Vigyan Nagar,1618,4,2,2011,Yes,3289313
Nayapura,2714,2,1,2013,Yes,3021740
Gumanpura,1867,4,1,2001,Yes,2988045
Dada bari,2365,1,3,2001,No,3418705
Keshav Pura,1148,3,3,2011,Yes,2517132
Keshav Pura,2845,5,1,2009,No,2691521
Keshav Pura,2259,1,2,2007,Yes,2703175
Vigyan Nagar,3239,1,3,1982,Yes,3466310
Vigyan Nagar,1732,1,1,2003,No,3015652
Vigyan Nagar,1866,1,1,2003,No,3045288
Vigyan Nagar,979,1,2,2013,No,3089610
Gumanpura,1501,3,2,1991,No,2861674
Vigyan Nagar,1254,4,3,2001,No,3156219
Gumanpura,2113,2,1,1986,Yes,2851626
Vigyan Nagar,3363,5,1,2023,Yes,3596553
Gumanpura,3071,2,2,1998,Yes,3033994
Gumanpura,1799,5,3,2021,Yes,3139558
Keshav Pura,1365,5,3,2001,Yes,2594312
Nayapura,2245,2,2,1999,Yes,2878947
Nayapura,2849,2,3,2001,No,2819773
Gumanpura,2495,3,2,2022,Yes,3237146
Dada bari,1714,5,3,2021,Yes,3534461
Keshav Pura,1671,1,1,2019,No,2649443
Nayapura,3140,3,1,2017,Yes,3071118
Vigyan Nagar,2287,5,1,1997,No,3174875
Gumanpura,1940,2,3,2011,Yes,3112686
Keshav Pura,3378,1,1,2006,Yes,2946041
Gumanpura,1374,2,1,2018,No,2795875
Vigyan Nagar,3138,5,3,2013,Yes,3470897
Gumanpura,3051,3,3,2004,No,3075009
Nayapura,1771,2,1,1980,Yes,2778485
Dada bari,1255,5,3,2011,No,3258577
Gumanpura,2586,2,2,2002,Yes,3049932
Gumanpura,3032,4,2,1995,No,3021290
Keshav Pura,3358,1,1,1990,No,2709906
Gumanpura,3101,2,2,1990,Yes,3203986
Gumanpura,3359,1,1,2017,Yes,3355069
Dada bari,2037,3,2,2008,No,3376450
Gumanpura,2266,2,3,2018,No,2956656
Keshav Pura,2017,1,3,2007,No,2628885
Keshav Pura,1284,2,3,2006,Yes,2603260
Nayapura,2451,4,2,1998,Yes,2978830
Dada bari,1078,2,3,2009,No,3363912
Keshav Pura,2973,1,1,2004,No,2663597
Nayapura,2293,2,3,2019,No,2853871
Nayapura,2618,1,2,1983,Yes,2990014
Dada bari,2282,4,3,2013,No,3478273
Dada bari,2680,5,2,2017,No,3532465
Gumanpura,2610,4,1,1985,Yes,2952859
Vigyan Nagar,2760,4,1,2022,Yes,3533281
Keshav Pura,3066,4,2,2009,Yes,2861614
Vigyan Nagar,1032,5,3,1983,No,3053451
Dada bari,2974,1,1,2009,Yes,3706739
Keshav Pura,2174,1,1,2002,Yes,2630971
Keshav Pura,1026,2,1,2021,Yes,2714634
Vigyan Nagar,1380,4,1,1994,No,3086693
Vigyan Nagar,2404,5,2,1989,No,3235248
Dada bari,1227,4,2,2011,No,3331193
Gumanpura,1113,4,3,2000,Yes,2787152
Nayapura,1204,5,2,2003,No,2601582
Vigyan Nagar,2179,2,3,2020,No,3422590
Nayapura,3066,3,2,2003,Yes,3027604
Gumanpura,2846,2,2,1988,No,3001600
Gumanpura,2501,3,3,1988,No,2931443
Nayapura,1232,5,3,1992,No,2733580
Gumanpura,3052,2,3,1988,Yes,3148861
Vigyan Nagar,1148,5,2,1980,Yes,3061911
Vigyan Nagar,2109,1,2,2019,No,3224757
Keshav Pura,2359,3,3,1990,Yes,2787653
Vigyan Nagar,2457,4,3,1988,Yes,3271026
Nayapura,2929,3,2,2017,No,3121157
Nayapura,1336,1,1,2002,Yes,2736733
Vigyan Nagar,2380,5,1,2023,No,3519845
Vigyan Nagar,979,2,1,1981,Yes,3123303
Dada bari,3173,3,3,2019,Yes,3706991
Dada bari,3069,4,1,2013,Yes,3695915
Dada bari,3080,1,1,2009,Yes,3549241
Dada bari,1759,1,3,1987,Yes,3426146
Gumanpura,2053,2,1,2018,Yes,3180814
Dada bari,2555,5,1,1990,No,3525344
Nayapura,3417,5,3,2013,No,3094369
Vigyan Nagar,1985,1,2,1987,No,3154430
Dada bari,2863,5,2,2000,No,3477503
Gumanpura,1118,3,2,1981,Yes,2903250
Gumanpura,2063,3,2,1981,Yes,2913414
Keshav Pura,2237,1,2,2005,No,2675826
Gumanpura,1893,4,2,1994,No,2796928
Keshav Pura,2536,3,3,2004,Yes,2766187
Gumanpura,1111,1,1,1995,Yes,2796146
Nayapura,3158,3,3,1999,No,2956896
Vigyan Nagar,3068,4,2,2019,No,3447649
Nayapura,2432,4,1,1988,Yes,2896138
Gumanpura,3292,4,3,1980,Yes,3237688
Dada bari,2105,4,2,2008,No,3354003
Gumanpura,1042,4,2,2001,No,2621263
Keshav Pura,2463,2,2,2012,Yes,2746183
Nayapura,2275,4,1,2020,Yes,3039195
Vigyan Nagar,1914,2,3,2015,Yes,3327886
Nayapura,2161,5,2,2005,No,2723871
Dada bari,1417,5,3,2010,No,3300328
Nayapura,1064,3,1,2015,No,2636315
Gumanpura,1187,1,1,2019,No,2787004
Gumanpura,1976,4,1,1982,No,2869262
Dada bari,2727,4,3,2012,Yes,3736985
Keshav Pura,3103,5,1,1986,Yes,2885884
Gumanpura,2837,2,1,2005,Yes,3122060
Nayapura,1542,5,2,1990,No,2781253
Gumanpura,3147,1,3,2014,Yes,3274609
Gumanpura,1265,2,3,1987,No,2639162
Gumanpura,1319,2,1,1989,Yes,2787801
Vigyan Nagar,1203,5,2,2010,Yes,3209664
Keshav Pura,1699,2,1,1995,Yes,2541754
Nayapura,2284,1,3,2013,No,2786502
Keshav Pura,2471,5,1,2004,No,2664635
Gumanpura,3279,5,3,1987,No,3103031
Dada bari,2842,1,3,1984,No,3375600
Vigyan Nagar,1636,4,2,1991,No,3087886
Keshav Pura,1306,5,2,2002,Yes,2555813
Nayapura,3398,4,2,2009,Yes,3118114
Vigyan Nagar,2801,4,2,2011,Yes,3466586
Vigyan Nagar,2881,2,2,2004,No,3319965
Dada bari,3352,1,3,1980,Yes,3721448
Vigyan Nagar,3289,4,3,2003,No,3337708
Dada bari,1694,4,2,1994,No,3400412
Vigyan Nagar,1671,5,1,1997,Yes,3251157
Gumanpura,1541,3,1,1982,Yes,2935867
Nayapura,1951,4,2,1985,No,2775425
Gumanpura,1127,5,2,1997,Yes,2823253
Gumanpura,2589,2,1,2015,No,3118035
Vigyan Nagar,2777,4,1,2012,No,3291792
Nayapura,2527,1,1,1999,No,2806242
Dada bari,2213,3,1,2013,No,3393165
Nayapura,2040,1,3,2010,No,2872238
Keshav Pura,1435,2,1,1991,Yes,2507206
Dada bari,3005,2,1,2009,No,3592580
Vigyan Nagar,2798,2,2,2004,No,3238488
Vigyan Nagar,2440,5,3,2022,Yes,3573175
Dada bari,3172,3,3,1998,Yes,3648193
Vigyan Nagar,1896,4,2,2010,No,3182589
Gumanpura,2048,1,2,2010,No,2944737
Keshav Pura,1807,3,2,1981,No,2424631
Nayapura,2043,2,1,2008,No,2719871
Dada bari,1710,2,2,1999,No,3287707
Nayapura,2464,1,2,1983,No,2819940
Vigyan Nagar,3376,2,3,1984,Yes,3544214
Gumanpura,3075,4,2,1985,Yes,3053752
Keshav Pura,3430,2,3,1984,No,2710523
Vigyan Nagar,2313,3,2,1990,No,3198460
Dada bari,1175,2,2,1988,No,3300013
Keshav Pura,2586,4,2,2015,No,2728141
Vigyan Nagar,2918,2,1,1997,No,3219726
Keshav Pura,1582,3,3,2022,Yes,2716952
Dada bari,1115,1,3,1999,Yes,3265247
Dada bari,1404,4,2,1980,Yes,3398952
Keshav Pura,2712,4,1,1987,Yes,2823924
Nayapura,2480,5,3,1986,No,2870969
Gumanpura,1341,3,2,2011,Yes,2982202
Keshav Pura,1367,3,3,2009,Yes,2679355
Gumanpura,2086,5,2,1997,No,2914308
Dada bari,1204,4,3,2003,No,3208940
Nayapura,2549,1,2,2001,Yes,2932307
Nayapura,1819,2,2,1996,Yes,2776264
Nayapura,2068,4,1,1998,Yes,2830659
Nayapura,2754,1,2,2019,No,2917539
Dada bari,980,1,3,1980,Yes,3367902
Nayapura,2915,1,2,1994,No,2897030
Nayapura,3417,2,2,2015,No,2973042
Nayapura,1279,4,2,1994,No,2702657
Dada bari,1644,3,3,1993,No,3361859
Vigyan Nagar,1655,5,1,1993,Yes,3255183
Vigyan Nagar,1542,1,1,1995,Yes,3239846
Vigyan Nagar,2316,4,3,1988,Yes,3281625
Nayapura,2037,1,3,2018,Yes,3035997
Dada bari,1725,1,3,2004,No,3246494
Vigyan Nagar,1542,4,1,1985,No,3118969
Nayapura,1627,1,2,2001,Yes,2729381
Nayapura,1425,5,1,1983,Yes,2689349
Dada bari,1458,4,1,2004,No,3230920
Vigyan Nagar,3047,2,2,2010,Yes,3555717
Gumanpura,2220,3,3,2014,No,3079340
Dada bari,975,4,2,2000,Yes,3271985
Keshav Pura,2831,2,1,1986,Yes,2844504
Keshav Pura,1485,3,1,2005,No,2429033
Keshav Pura,3085,1,1,2021,No,2822200
Vigyan Nagar,1938,1,1,2023,No,3309025
Dada bari,2448,2,2,1980,Yes,3497856
Dada bari,1512,1,2,1987,No,3297090
Dada bari,2374,4,3,1990,No,3475826
Vigyan Nagar,3356,3,1,1983,No,3326772
Nayapura,1962,1,2,1982,Yes,2889219
Nayapura,1542,3,3,1996,No,2626428
Dada bari,2255,1,3,2004,No,3359618
Gumanpura,2851,5,1,1980,No,3057851
Keshav Pura,1321,3,2,2022,Yes,2714690
Vigyan Nagar,1304,3,2,2023,Yes,3268326
Vigyan Nagar,3048,2,2,1989,Yes,3433613
Dada bari,1915,1,3,1981,Yes,3430665
Gumanpura,1257,3,2,2001,Yes,2924023
Gumanpura,1414,3,1,1980,Yes,2865886
Vigyan Nagar,1868,2,2,1994,Yes,3124921
Dada bari,1054,3,1,1992,Yes,3239551
Keshav Pura,2810,1,3,2019,Yes,2958313
Keshav Pura,1610,2,3,1982,Yes,2501013
Dada bari,1751,5,3,1988,No,3321717
Dada bari,2646,1,2,1987,Yes,3502773
Nayapura,1281,5,1,1994,Yes,2671135
Keshav Pura,2482,5,3,1989,Yes,2771069
Vigyan Nagar,1114,4,3,1989,No,3025112
Keshav Pura,3060,2,3,2022,No,2979409
Vigyan Nagar,1506,5,2,2000,Yes,3214809
Vigyan Nagar,3124,4,3,1998,Yes,3419196
Nayapura,2348,3,3,2004,Yes,2841289
Keshav Pura,3162,1,1,1988,No,2721019
Vigyan Nagar,2342,2,2,2009,No,3198668
Dada bari,1155,1,2,1984,No,3143799
Vigyan Nagar,3060,1,3,2014,Yes,3485829
Dada bari,984,3,1,2001,No,3264227
Nayapura,1896,5,3,1983,Yes,2905452
Keshav Pura,2650,4,2,2016,Yes,2858542
Nayapura,2337,1,3,2015,No,2820338
Dada bari,1805,4,1,2000,No,3327636
Gumanpura,3266,1,2,1984,Yes,3069050
Vigyan Nagar,1797,1,1,1984,Yes,3264921
Nayapura,1276,2,1,2018,Yes,2928077
Nayapura,2686,2,3,1995,No,2936263
Vigyan Nagar,1433,4,3,1993,No,3177204
Dada bari,3012,5,3,2019,Yes,3888445
Nayapura,3471,1,2,2018,No,3160283
Nayapura,2675,2,3,2006,No,2904129
Dada bari,2461,2,3,2021,No,3641253
Gumanpura,1698,5,1,2005,Yes,2988640
Gumanpura,3356,3,3,1989,No,3061253
Nayapura,1772,2,1,1994,Yes,2824469
Nayapura,3213,4,1,2001,No,2970447
Dada bari,1900,2,2,1989,No,3284378
Nayapura,1863,1,1,2004,Yes,2733237
Gumanpura,1024,5,2,1982,No,2765046
Nayapura,3453,4,1,1991,No,2930091
Nayapura,2666,5,2,2001,No,2792663
Nayapura,2445,1,1,1998,No,2855939
Keshav Pura,1798,4,1,1989,No,2505242
Keshav Pura,1783,2,2,2017,Yes,2767626
Nayapura,2155,4,1,2009,No,2889356
Vigyan Nagar,2387,2,1,1985,No,3120719
Nayapura,2252,5,2,1980,No,2812331
Keshav Pura,2117,1,3,1986,Yes,2725334
Keshav Pura,995,2,2,1981,No,2363232
Keshav Pura,1593,5,2,2021,Yes,2888537
Dada bari,1507,2,2,1999,Yes,3425406
Dada bari,1755,4,2,2000,Yes,3392258
Nayapura,1006,3,1,2008,No,2685531
Dada bari,3079,3,3,1992,Yes,3582849
Gumanpura,2984,4,3,2015,No,3198287
Vigyan Nagar,2533,1,2,2023,No,3378206
Gumanpura,1213,2,2,1994,Yes,2863359
Keshav Pura,1203,2,3,1984,Yes,2440361
Vigyan Nagar,2952,4,1,1981,Yes,3426723
Keshav Pura,3437,4,3,1985,No,2693260
Dada bari,3387,1,3,2016,Yes,3703712
Nayapura,2636,2,1,2008,No,2797875
Vigyan Nagar,2173,4,3,1996,No,3117460
Nayapura,1152,3,3,1990,Yes,2716684
Gumanpura,1142,5,2,2018,No,2953859
Dada bari,2510,1,2,1992,No,3346950
Keshav Pura,1642,1,2,2013,No,2600558
Keshav Pura,2108,5,2,1980,No,2550406
Keshav Pura,1473,1,2,1988,Yes,2512281
Dada bari,2558,3,1,2014,Yes,3597519
Nayapura,2576,5,1,1986,No,2823168
Vigyan Nagar,1511,3,1,1991,No,3162790
Dada bari,2375,3,3,2005,No,3407260
Vigyan Nagar,2408,2,1,1993,Yes,3194927
Vigyan Nagar,1249,4,3,1982,No,2961357
Vigyan Nagar,1027,1,2,1999,No,2941448
Gumanpura,2054,3,2,2000,No,2844645
Dada bari,2390,5,1,2017,No,3514804
Dada bari,1121,3,1,1990,Yes,3222731
Dada bari,2723,1,1,2016,Yes,3586631
Dada bari,1059,4,1,1985,No,3153040
Gumanpura,2037,2,1,2017,Yes,3105501
Gumanpura,3044,1,1,1986,No,2969737
Nayapura,3017,3,1,1987,Yes,3078697
Dada bari,2477,1,1,1985,No,3416295
Dada bari,2796,1,2,1990,Yes,3494646
Gumanpura,2544,5,3,1999,Yes,3034772
Keshav Pura,3159,4,2,2005,No,2703152
Vigyan Nagar,1731,5,3,2006,Yes,3281696
Dada bari,1057,3,2,2020,Yes,3540974
Gumanpura,1203,3,2,2019,No,2912190
Vigyan Nagar,2382,2,3,1983,Yes,3289427
Dada bari,1827,3,3,1999,No,3431472
Nayapura,1267,5,2,1988,No,2753013
Nayapura,2056,3,3,2020,No,2864105
Gumanpura,3351,2,3,1990,No,3112675
Dada bari,2240,4,2,1991,No,3440454
Keshav Pura,1965,3,2,2007,Yes,2620375
Vigyan Nagar,1810,1,2,2002,Yes,3293178
Gumanpura,2515,1,3,1980,Yes,2984315
Keshav Pura,1046,5,1,2012,No,2428144
Keshav Pura,2917,3,2,1980,No,2666813
Vigyan Nagar,2881,5,2,2000,No,3268248
Gumanpura,3378,4,3,1987,Yes,3105013
Gumanpura,2860,5,2,2003,Yes,3160660
Keshav Pura,3046,2,2,1982,Yes,2753585
Vigyan Nagar,2054,3,3,2006,Yes,3300558
Vigyan Nagar,1430,4,3,1996,No,3021713
Keshav Pura,2513,4,2,2001,Yes,2751339
Keshav Pura,3299,4,2,2002,Yes,2938325
Vigyan Nagar,1734,4,3,1989,No,3146435
Keshav Pura,2920,2,3,1988,No,2721838
Keshav Pura,2940,1,3,2012,Yes,2818124
Vigyan Nagar,3002,4,3,1987,Yes,3421966
Dada bari,1850,3,1,1993,No,3390186
Vigyan Nagar,1465,3,2,1993,No,3066970
Vigyan Nagar,1215,4,1,1989,Yes,3232826
Gumanpura,1791,1,2,1986,No,2800578
Keshav Pura,3066,3,1,2013,No,2778193
Gumanpura,1541,4,1,2011,No,2843189
Dada bari,1065,4,2,1987,Yes,3290799
Gumanpura,1258,3,3,1991,Yes,2818252
Nayapura,2880,4,3,2007,Yes,2976931
Nayapura,2326,3,3,1987,Yes,2978204
Nayapura,2595,1,2,1997,Yes,2944444
Nayapura,2416,4,2,2000,No,2848544
Keshav Pura,1995,1,1,1987,Yes,2590968
Gumanpura,2480,1,1,2002,No,2871665
Nayapura,1951,2,3,1986,No,2712784
Gumanpura,2351,5,1,2014,No,3061646
Nayapura,2634,2,1,1989,Yes,2855672
Keshav Pura,1531,3,2,2023,Yes,2809848
Vigyan Nagar,2884,2,2,2009,No,3280994
Nayapura,2038,5,1,2006,Yes,2868984
Gumanpura,3234,2,1,1996,Yes,3097786
Vigyan Nagar,3043,1,3,2002,Yes,3425235
Vigyan Nagar,1855,3,2,2003,Yes,3268213
Nayapura,1901,1,3,1980,Yes,2740846
Nayapura,2751,4,3,2023,Yes,3150207
Nayapura,2082,2,3,2018,Yes,2974575
Dada bari,2886,3,1,2020,No,3721323
Gumanpura,1872,1,1,1986,Yes,2835959
Keshav Pura,2947,5,2,1994,Yes,2852275
Vigyan Nagar,2571,1,2,1987,No,3303743
Dada bari,1076,1,2,1982,No,3161809
Nayapura,2454,1,1,1981,No,2803151
Gumanpura,1637,4,1,1985,No,2883702
Nayapura,2556,1,2,1984,Yes,2993717
Vigyan Nagar,2589,3,3,2022,No,3451294
Keshav Pura,1157,5,3,1983,No,2524525
Dada bari,2701,1,3,1997,No,3537701
Gumanpura,1323,3,3,1997,Yes,2928498
Vigyan Nagar,3220,3,1,2011,Yes,3486307
Nayapura,2869,5,2,2015,Yes,3046737
Keshav Pura,1782,1,3,1990,Yes,2672020
Gumanpura,3339,4,1,2018,No,3168555
Dada bari,2412,5,1,1994,Yes,3553713
Dada bari,2454,1,2,2002,Yes,3514857
Vigyan Nagar,1159,4,3,1985,Yes,3128738
Vigyan Nagar,2014,5,2,1992,No,3092599
Vigyan Nagar,2890,3,1,1984,Yes,3351931
Keshav Pura,1750,3,1,2013,No,2678110
Dada bari,1669,4,1,1988,Yes,3323177
Nayapura,2991,3,3,2010,Yes,3128862
Keshav Pura,2687,5,1,1985,Yes,2815846
Keshav Pura,2337,5,3,1989,No,2687743
Dada bari,2968,2,3,2003,Yes,3536601
Gumanpura,2288,3,2,1982,Yes,3041212
Vigyan Nagar,2412,3,2,1992,Yes,3328268
Keshav Pura,2903,4,3,1997,No,2649434
Dada bari,2016,2,2,1985,Yes,3477019
Gumanpura,3408,5,2,2008,No,3210489
Vigyan Nagar,2345,2,1,2003,Yes,3342238
Vigyan Nagar,3397,2,2,2008,No,3464300
Gumanpura,2576,5,3,2017,Yes,3114579
Vigyan Nagar,2136,1,1,1992,Yes,3153867
Dada bari,2846,4,1,1984,Yes,3576800
Gumanpura,1786,3,2,1991,No,2797646
Keshav Pura,1800,4,1,1987,Yes,2720474
Keshav Pura,1013,1,1,2001,Yes,2507489
Vigyan Nagar,1936,1,3,2009,Yes,3203674
Dada bari,3468,5,2,1981,No,3644883
Keshav Pura,1169,1,2,2000,Yes,2577742
Nayapura,3326,1,3,2011,No,2955747
Gumanpura,1940,2,2,2023,No,3057674
Keshav Pura,2090,1,1,1992,Yes,2676205
Gumanpura,2673,1,1,2005,No,2846062
Keshav Pura,1631,3,2,2009,Yes,2578744
Keshav Pura,1285,2,2,2013,Yes,2546956
Gumanpura,1753,3,1,1998,Yes,2854179
Vigyan Nagar,3268,3,2,1997,Yes,3526994
Dada bari,1062,3,3,2003,No,3152423
Nayapura,1745,2,2,2011,Yes,2916150
Gumanpura,1200,2,3,1997,Yes,2730570
Nayapura,2865,3,3,2006,Yes,2999108
Dada bari,2263,1,2,2003,Yes,3524393
Keshav Pura,1803,1,3,1984,No,2409630
Vigyan Nagar,2319,3,1,1993,No,3245898
Keshav Pura,2930,4,2,1990,No,2758214
Gumanpura,1007,1,2,2012,No,2767516
Vigyan Nagar,1410,4,2,1998,Yes,3082094
Keshav Pura,1064,4,1,2006,Yes,2495475
Gumanpura,1195,3,1,2013,Yes,2841789
Nayapura,2905,2,1,2019,Yes,3157507
Keshav Pura,1286,5,3,1981,No,2400646
Keshav Pura,2753,1,2,1992,Yes,2655112
Nayapura,3000,1,1,1991,Yes,3004611
Dada bari,1182,5,2,1998,No,3158922
Gumanpura,1310,5,2,2005,No,2781726
Dada bari,1207,2,3,2009,Yes,3482023
Nayapura,1843,2,1,1980,No,2801291
Dada bari,1248,4,3,2012,Yes,3522749
Vigyan Nagar,1129,3,2,2022,Yes,3280390
Keshav Pura,1917,5,2,2014,Yes,2689737
Keshav Pura,1639,3,3,2000,Yes,2510087
Nayapura,3402,1,2,1999,No,2861249
Dada bari,2219,4,3,1980,No,3330302
Dada bari,2093,2,3,2015,No,3540424
Nayapura,1844,3,1,1999,No,2636598
Gumanpura,1912,4,1,2012,No,2971247
Nayapura,2641,4,3,2011,Yes,3084438
Nayapura,2578,1,3,2007,Yes,2961755
Vigyan Nagar,1279,4,3,2006,No,3006543
Vigyan Nagar,1500,4,2,1989,No,3001333
Dada bari,2329,5,2,2016,Yes,3641876
Nayapura,1016,1,3,1982,Yes,2618424
Keshav Pura,1282,3,1,1992,No,2375602
Keshav Pura,983,3,2,1998,Yes,2529343
Vigyan Nagar,1371,1,2,2005,No,3123441
Vigyan Nagar,1022,4,2,2016,No,3162410
Keshav Pura,1613,3,3,2008,Yes,2709232
Nayapura,2652,2,1,2002,Yes,2843067
Nayapura,2435,4,3,2018,Yes,3168110
Dada bari,2419,1,1,1984,Yes,3401476
Keshav Pura,1571,2,2,2014,No,2591552
Gumanpura,2517,5,1,2015,No,3087723
Gumanpura,1614,3,1,1983,Yes,2958259
Nayapura,2951,2,1,2015,No,2930809
Keshav Pura,2850,5,3,1994,Yes,2790679
Nayapura,1480,1,1,1984,No,2695520
Dada bari,1526,4,2,1982,No,3272213
Nayapura,2014,3,1,2019,Yes,3015575
Keshav Pura,1410,4,1,2001,Yes,2504423
Gumanpura,2902,3,3,2009,Yes,3085873
Keshav Pura,2444,1,1,2011,Yes,2676237
Dada bari,2643,2,2,1981,No,3451002
Nayapura,2459,5,3,1984,No,2908963
Nayapura,2066,1,3,1982,Yes,2926869
Gumanpura,1810,5,3,2010,Yes,3015387
Dada bari,2234,5,1,1986,Yes,3566378
Keshav Pura,1769,1,2,1986,Yes,2626079
Gumanpura,3377,1,3,2004,Yes,3162954
Keshav Pura,2526,2,3,2008,No,2761675
Keshav Pura,3435,3,3,1980,Yes,2804112
Keshav Pura,1556,4,2,1987,Yes,2694474
Gumanpura,2972,1,1,2007,No,2979853
Keshav Pura,3187,4,1,2000,Yes,2804778
Vigyan Nagar,2337,4,1,1993,Yes,3329566
Gumanpura,1969,2,2,2001,Yes,3023663
Dada bari,3082,5,2,2008,No,3642428
Vigyan Nagar,2195,1,2,2007,No,3143587
Keshav Pura,2074,3,1,2004,Yes,2591260
Nayapura,1538,4,1,1981,No,2680674
Keshav Pura,2061,5,1,2018,No,2729405
Gumanpura,3235,4,3,2019,No,3148730
Vigyan Nagar,1867,1,3,1987,Yes,3294555
Dada bari,3337,1,2,1993,Yes,3715449
Nayapura,3414,5,3,2011,Yes,3165970
Gumanpura,3029,1,2,1988,Yes,3178813
Keshav Pura,2387,3,3,1987,Yes,2649519
Dada bari,1933,1,3,1992,Yes,3400804
Nayapura,2894,2,2,2020,Yes,3175275
Keshav Pura,2493,1,3,2009,Yes,2726998
Keshav Pura,2004,1,3,2021,Yes,2853050
Keshav Pura,2268,5,2,2016,Yes,2817074
Dada bari,1460,1,2,2001,Yes,3392580
Dada bari,1795,5,1,2002,No,3265644
Keshav Pura,1388,4,2,1982,Yes,2554528
Keshav Pura,1183,3,3,1996,No,2476045
Keshav Pura,1178,3,2,1992,Yes,2469213
Keshav Pura,1962,2,3,2023,Yes,2828333
Gumanpura,2546,3,1,1982,No,2906002
Vigyan Nagar,2444,1,1,1986,Yes,3241075
Nayapura,3359,2,2,2008,Yes,3085570
Vigyan Nagar,1552,1,1,1989,No,3144809
Vigyan Nagar,1397,4,2,2019,No,3316690
Gumanpura,1274,1,2,2011,Yes,2854675
Dada bari,1832,3,2,1994,No,3290470
Keshav Pura,2238,1,3,1997,No,2621868
Dada bari,3199,4,3,1998,Yes,3665482
Gumanpura,3094,5,1,1994,No,3103575
Dada bari,2807,3,2,1990,No,3414545
Nayapura,3238,2,2,2016,No,3044473
Dada bari,3192,2,1,1990,Yes,3639417
Vigyan Nagar,1627,5,2,1996,Yes,3239636
Keshav Pura,2785,1,1,2001,Yes,2691759
Nayapura,1401,3,1,1988,Yes,2854091
Vigyan Nagar,2743,2,3,2009,No,3242861
Keshav Pura,2092,5,3,2004,Yes,2721728
Keshav Pura,3285,5,3,2016,Yes,2975567
Nayapura,3196,3,3,1983,Yes,3113790
Keshav Pura,3028,3,1,1983,No,2616295
Dada bari,3368,2,3,2008,No,3659232
Gumanpura,3469,4,1,2023,Yes,3443309
Dada bari,984,4,1,2017,No,3388867
Vigyan Nagar,1724,4,3,1990,Yes,3132468
Dada bari,1744,5,3,1985,Yes,3421141
Gumanpura,3158,2,1,2018,No,3231247
Dada bari,2285,1,3,1988,Yes,3542288
Nayapura,1871,2,2,1998,Yes,2897824
Nayapura,3321,3,3,2015,Yes,3196156
Nayapura,1557,4,3,2021,Yes,2900191
Keshav Pura,2645,4,2,2022,Yes,2988683
Vigyan Nagar,2924,5,1,2000,No,3348912
Dada bari,3261,4,2,2012,No,3725819
Dada bari,2007,5,2,2017,Yes,3714398
Gumanpura,1961,2,3,2021,No,3080875
Nayapura,2782,4,1,2003,Yes,2894469
Vigyan Nagar,2858,5,1,2023,Yes,3611403
Keshav Pura,1434,3,3,2014,No,2669631
Vigyan Nagar,2677,1,2,1990,Yes,3369139
Keshav Pura,1744,4,1,1988,No,2548227
Keshav Pura,3197,2,1,2018,No,2942268
Nayapura,2027,2,3,2007,No,2807949
Keshav Pura,3119,4,2,1991,No,2772785
Gumanpura,1717,2,3,2011,No,2869553
Nayapura,2336,2,2,1980,No,2877284
Dada bari,2778,3,3,1984,No,3526539
Nayapura,1386,1,3,2019,Yes,2894001
Keshav Pura,1701,4,1,1995,Yes,2567268
Keshav Pura,2284,5,1,2007,No,2556659
Gumanpura,1278,4,2,2018,No,2852364
Nayapura,1176,3,2,2006,No,2738159
Dada bari,2174,3,3,2006,Yes,3442421
Gumanpura,3235,4,1,1991,Yes,3068564
Gumanpura,1253,4,3,1990,No,2764063
Dada bari,1104,4,1,2023,Yes,3601470
Keshav Pura,3036,2,2,2004,Yes,2796045
Vigyan Nagar,1902,1,1,2023,No,3342388
Dada bari,3266,4,3,1985,Yes,3593158
Keshav Pura,1050,1,3,1985,No,2483018
Gumanpura,3151,5,2,2010,Yes,3299771
Keshav Pura,3372,2,1,2019,Yes,2912545
Nayapura,2485,2,2,2005,Yes,2849137
Keshav Pura,1645,2,3,1987,Yes,2666608
